Superclass,Class,Subclass,Subfamily,Gene,InBETSE,InChannelpedia,Notes,Other_names,Number_of_proteins,UniProt
K,Kca,BkB1,Subfamily M (large conductance Ca-activated channel),KCNMB1,N,N,,,1,
K,Kca,BKB2,Subfamily M (large conductance Ca-activated channel),KCNMB2,N,N,,,10,
K,Kca,BKB3,Subfamily M (large conductance Ca-activated channel),KCNMB3,N,N,,,2,
K,Kca,BKB4,Subfamily M (large conductance Ca-activated channel),KCNMB4,N,N,,,2,
K,Kca,KChip1,,KCNIP1,N,N,,,1,
K,Kca,KChip2a,,KCNIP2,N,N,,,3,
K,KvBeta,KvBeta1,Shaker-Related Subfamily,KCNAB1,N,N,,,5,
K,KvBeta,KvBeta2,Shaker-Related Subfamily,KCNAB2,N,N,?,,8,
K,KvBeta,KvBeta3,Shaker-Related Subfamily,KCNAB3,N,N,,,1,
K,KCNK,TASK-1,Subfamily K,KCNK3,N,N,,,2,
K,KCNK,TASK-2,Subfamily K,KCNK5,N,N,,,2,
K,KCNK,TASK-3,Subfamily K,KCNK9,N,N,,,2,
K,KCNK,TASK-4,Subfamily K,KCNK17,N,N,,KCNK-TALK-TALK2,2,
K,KCNK,TASK-5,Subfamily K,KCNK15,N,N,,,1,
K,KCNK,TALK-1,Subfamily K,KCNK16,N,N,,,2,
K,KCNK,THIK-1,Subfamily K,KCNK13,N,N,,,1,
K,KCNK,THIK-2,Subfamily K,KCNK12,N,N,,,1,
K,KCNK,TREK-1,Subfamily K,KCNK2,N,N,,,8,
K,KCNK,TREK-2,Subfamily K,KCNK10,N,N,,,2,
K,KCNK,TWIK-1,Subfamily K,KCNK1,N,N,,,3,
K,KCNK,TWIK-2,Subfamily K,KCNK6,N,N,,,2,
Na,Nav1,Nav1.1,Type I,SCN1A,N,N,,,7,
Na,Nav1,Nav1.2,Type II,SCN2A,Y,Y,,,7,F6U291 Q99250
Na,Nav1,Nav1.3,Type III,SCN3A,Y,Y,,,4,Q9GZM4 Q9C007 C9JBM7 E7EUE6 Q9NY46
Na,Nav1,Nav1.4,Type IV,SCN4A,N,N,,,4,
Na,Nav1,Nav1.5,Type V,SCN5A,N,N,,,14,
Na,Nav1,Nav1.6,Type VIII,SCN8A,Y,Y,,,9,Q9GZR0 Q9P2Q6 F8W0Q0 Q9UQD0 Q6B4S2 Q6B4S3 Q6B4S4
Na,Nav1,Nav1.7,Type IX,SCN9A,N,N,,,6,
Na,Nav1,Nav1.8,Type X,SCN10A,N,N,,,1,
Na,Nav1,Nav1.9,Type XI,SCN11A,N,N,,,1,
Na,Nav2,Nav2.1,Type VII,SCN7A,N,N,may be same as SCN6A,,4,
Na,Nav2,Nav2.2,Type VII,SCN7A,N,N,may be same as SCN6A,,,
Na,Nav2,Nav2.3,Type VII,SCN7A,N,N,may be same as SCN6A,,,
Na,Nav2,Nav2.4,Type IV,SCN4B,N,N,,,2,
Na,Nav3,Nav3.1,,NAV3 ,N,N,?,,,
Ca,Cav,Cav1.1,L type,CACNA1S,Y,Y,,,2,
Ca,Cav,Cav1.2,L type,CACNA1C,Y,Y,,,15,
Ca,Cav,Cav1.3,L type,CACNA1D,Y,Y,,,12,
Ca,Cav,Cav1.4,L type,CACNA1F,Y,Y,,,2,
Ca,Cav,Cav2.1,P/Q-type channel,CACNA1A,Y,Y,,,23,Q9UN69 O95387 B5TYJ1 Q9NS89 I3L2V5 I3L391 K7EKF7 K7EQ95 O00555
Ca,Cav,Cav2.2,N-type,CACNA1B,N,N,,,16,
Ca,Cav,Cav2.3,R-type,CACNA1E,N,Y,(Rat),,9,
Ca,Cav,Cav3.1,T-type,CACNA1G,N,Y,(CHO),,6,
Ca,Cav,Cav3.2,T-type,CACNA1H,N,N,,,10,
Ca,Cav,Cav3.3,T-type,CACNA1I,Y,Y,,,1,Q9P0X4
Ca,Cav,cancnb1,,CACNB1,N,N,,,2,
Ca,Cav,cancnb2,,CACNB2,N,N,,,6,
Ca,Cav,cancnb3,,CACNB3,N,N,,,9,
Ca,Cav,cancnb4,,CACNB4,N,N,,,46,
Ca,Cav,cacng1,,CACNG1,N,N,,,1,
Ca,Cav,cacng2,,CACNG2,N,N,,,1,
Ca,Cav,cacng3,,CACNG3,N,N,,,1,
Ca,Cav,cacng4,,CACNG4,N,N,,,2,
Ca,Cav,cacng5,,CACNG5,N,N,,,1,
Ca,Cav,cacng6,,CACNG6,N,N,,,3,
Ca,Cav,cacng7,,CACNG7,N,N,,,2,
Ca,Cav,cacng8,,CACNG8,N,N,,,1,
Ca,Cav,cacna2d1,,CACNA2D1,N,N,,,1,
Ca,Cav,cacna2d2,,CACNA2D2,N,N,,,1,
Ca,Cav,cacna2d3,,CACNA2D3,N,N,,,,
Cl,Cl,ClvC1,,CLCN1,,,,,,
Cl,Cl,ClvC2,,CLCN2,,,,,,
Cl,Cl,ClvC3,,CLCN3,,,,,,
Cl,Cl,ClvC4,,CLCN4,,,,,,
Cl,Cl,ClvC5,,CLCN5,,,,,,
Cl,Cl,ClvC6,,CLCN6,,,,,,
Cl,Cl,ClvC7,,CLCN7,,,,,,
Cl,Cl,ClCa1,,CLCA1,,,,,,
Cl,Cl,ClCa2,,CLCA2,,,,,,
Cl,Cl,ClCa4,,CLCA4,,,,,,
Cl,Cl,ClCK1,,CLCNKA,,,,,,
Cl,Cl,ClCK2,,CLCNKB,,,,,,
Cl,Cl,ClIC1,,CLIC1,,,,,,
Cl,Cl,ClIC2,,CLIC2,,,,,,
Cl,Cl,ClIC3,,CLIC3,,,,,,
Cl,Cl,ClIC4,,CLIC4,,,,,,
Cl,Cl,ClIC5,,CLIC5,,,,,,
Ih,HCN,HCN1,HCN channel family,HCN1,,,,,,
Ih,HCN,HCN2,HCN channel family,HCN2,,,,,,
Ih,HCN,HCN3,HCN channel family,HCN3,,,,,,
Ih,HCN,HCN4,HCN channel family,HCN4,,,,,,
TRP,TRPC,TRPC1,Subfamily C,TRPC1,,,,,,
TRP,TRPC,TRPC2,Subfamily C,TRPC2,,,,,,
TRP,TRPC,TRPC3,Subfamily C,TRPC3,,,,,,
TRP,TRPC,TRPC4,Subfamily C,TRPC4,,,,,,
TRP,TRPC,TRPC5,Subfamily C,TRPC5,,,,,,
TRP,TRPC,TRPC6,Subfamily C,TRPC6,,,,,,
TRP,TRPC,TRPC7,Subfamily C,TRPC7,,,,,,
TRP,TRPM,TRPM1,Subfamily M,TRPM1,,,,,,
TRP,TRPM,TRPM2,Subfamily M,TRPM2,,,,,,
TRP,TRPM,TRPM3,Subfamily M,TRPM3,,,,,,
TRP,TRPM,TRPM4,Subfamily M,TRPM4,,,,,,
TRP,TRPM,TRPM5,Subfamily M,TRPM5,,,,,,
TRP,TRPM,TRPM6,Subfamily M,TRPM6,,,,,,
TRP,TRPM,TRPM7,Subfamily M,TRPM7,,,,,,
TRP,TRPM,TRPM8,Subfamily M,TRPM8,,,,,,
TRP,TRPV,TRPV1,Subfamily V,TRPV1,,,,,,
TRP,TRPV,TRPV2,Subfamily V,TRPV2,,,,,,
TRP,TRPV,TRPV3,Subfamily V,TRPV3,,,,,,
TRP,TRPV,TRPV4,Subfamily V,TRPV4,,,,,,
TRP,TRPV,TRPV5,Subfamily V,TRPV5,,,,,,
TRP,TRPV,TRPV6,Subfamily V,TRPV6,,,,,,
TRP,TRPA,TRPA1,Subfamily A,TRPA1,,,,,,
TRP,TRPML,TRPML1,,MCOLN1,,,,,,
TRP,TRPML,TRPML2,,MCOLN2,,,,,,
TRP,TRPML,TRPML3,,MCOLN3,,,,,,
