GenBank AC	UniProtKB AC
AL031685	A0A096LNN8
AL031685	A0A096LNT1
AL031685	A0A096LNV3
AL031685	A0A096LP02
AL031685	A0A096LPF9
AL031685	Q9UM82
AL031685	Q9Y2E8
AL031685	Q9Y508
X55005	P10827
AL356115	Q9H7U1
X79510	Q16825
S67238	Q16085
AF017307	P78545
BC003633	O94826
BC001255	P52298
AF044221	O95164
BC002682	P51452
U29538	Q13642
AY008268	Q9NR31
J03263	P11279
BC002737	P63027
AF109196	Q9Y696
L29008	Q00796
D13891	Q02363
M75715	P62495
AL121900	A0A087WZV9
AL121900	A0A096LP01
AL121900	A0A096LPB2
AL121900	A0A096LPB8
AL121900	Q15437
AL121900	Q5QPE1
AL121900	Q5QPE2
AL121900	Q8TEA8
D80000	Q14683
AF064084	O60725
BC000629	P14868
M85289	P98160
D89053	O95573
AL136877	Q9NTJ3
M68956	P29966
BC003556	P54578
BC000729	Q92667
AB011155	Q8TDM6
AF229254	Q9BZZ5
BC000496	P40855
D42063	P49792
U41514	Q10472
BC003376	Q15717
AF029346	P51790
M69040	Q07955
AF304370	Q9BQ52
BC004467	Q14677
AK022511	B3KMS0
AK001487	B3KMB2
BC002525	O75071
AF070558	O43567
BC000637	Q9Y394
AF185696	P22059
AF079117	Q99808
BC004439	Q99595
AB022663	Q9UBS8
AF113019	Q92925
BC001007	Q9Y478
AF197954	O94864
AB029551	Q8N488
U15174	Q12983
J03223	P10124
D29805	P15291
U81379	P78552
AF138300	P07585
Z14077	P25490
U49262	Q92997
BC001288	P08174
D85390	O75976
AL137784	A0A0A0MRL5
AL137784	D6RBV3
AL137784	D6RC01
AL137784	D6RE98
AL137784	E2QRF0
AL137784	E5RFK5
AL137784	E5RFX8
AL137784	E5RHL8
AL137784	E5RI39
AL137784	E5RIH8
AL137784	G5E954
AL137784	H0UI37
AL137784	H0Y8J5
AL137784	H0Y8Q0
AL137784	H0Y986
AL137784	H0YA21
AL137784	H0YBQ5
AL137784	J3KP90
AL137784	P24863
AL137784	Q5JV82
AL137784	Q70EL2
AL137784	Q9H4Q3
AF324888	O60237
AF113129	P38606
AB011165	Q9UHV7
BC002772	P56556
AF083441	P41567
BC000603	P63173
AF017987	Q8N474
L47162	P51648
BC002374	P52294
AB020335	Q9UBV2
AF052059	Q9UBV2
BC003087	Q9Y2Y0
AF043453	O60749
AB011108	Q13523
BC003090	Q99627
AL136139	A0A087WUD2
AL136139	D6RBQ2
AL136139	D6RDV1
AL136139	D6REP7
AL136139	D6RGD7
AL136139	P0DJ93
AL136139	P60508
AL136139	Q14511
U64317	Q14511
U69546	O95319
AF180476	Q9UFF9
AF302110	Q9NRN7
AF151057	Q9NRN7
AL117354	B1AKT3
AL117354	B4DZG1
AL117354	M0R072
AL117354	Q96G26
AL117354	Q9Y3A6
AL117354	Q9Y483
AF233438	Q13615
AF124145	Q9UKV5
BC001051	P56559
BC005122	Q9NP61
BC005003	Q13952
AB007900	O43166
U50532	Q92802
BC002666	P32455
AB007952	Q9NVF7
D88435	O14976
J04152	P09758
U88966	P42345
AF157324	Q9P0H9
K01228	P02452
AF306508	Q9GZR1
AB022435	P61086
BC000674	O14656
BC000120	P35269
AF231124	Q08629
BC004815	A6NIH7
BC004815	Q9BST3
AF255648	Q9H2M9
L12392	P42858
BC002785	P59780
X07868	P01344
X07868	P09565
AB007935	O75054
AL353950	Q08209
BC000365	P32780
BC002637	Q92519
AF072242	Q9UBB5
BC005238	Q14802
AF153419	O95163
D88435	O14976
L19760	P60880
AK001899	B3KMH8
AL031591	A0A0A0MSW4
AL031591	B3KYB6
AL031591	B3KYB7
AL031591	H7C105
AL031591	P48739
AL031591	Q10571
U44378	Q13485
BC000192	P00374
BC003584	P00374
AK002165	B2RE76
AF151842	Q9UQN3
BC005359	P60983
AL136658	Q9UKR5
AF051851	O95425
BC005162	Q9NUU7
AF306510	Q96S59
BC001116	P00568
AF161461	Q9P040
BC000436	O43768
AF135802	O60244
L37298	P51608
BC000023	P39019
BC003404	Q9H992
U16797	P52799
AB020966	O43148
U57059	P50591
BC001721	P62314
D86227	P11172
BC000899	O15155
BC001451	Q9UGI8
AL021786	O43736
AL080147	Q9UBB9
U40490	Q13423
U43784	Q16644
AL022394	A0A0A0MST6
AL022394	A0A0A0MSU5
AL022394	A0A0D9SEK2
AL022394	F6UBH9
AL022394	F6UQN6
AL022394	F6XGA7
AL022394	H0Y6F5
AL022394	H0YLR4
AL022394	H0YNY7
AL022394	M0QX77
AL022394	P11387
AL022394	P19174
AL022394	Q9H4I2
AL022394	V9GY63
AL022394	V9GY71
AL022394	V9GYH5
AK022669	B3KMU0
AK000161	Q9NXM7
BC001046	P83876
AL080081	Q9UBS3
AL136715	Q6PD74
AF172066	Q9UMY1
AF163473	P30154
M65254	P30154
D86043	P78324
AB023430	P78324
M96577	Q01094
BC002642	P25774
AF049895	P05937
AF049895	Q16698
AF151853	Q9Y3A3
AL022316	F8WAT7
AL022316	F8WE95
AL022316	Q8NET5
AL022316	Q9NQF3
AL022316	Q9Y3A4
M38083	P17050
AF084520	Q9Y6D6
Y09216	Q92630
Z95331	A0A0U1RRA4
Z95331	B1AHE3
Z95331	B1AHE4
Z95331	B1AHL2
Z95331	B1AHM5
Z95331	B1AHM6
Z95331	B1AHM7
Z95331	B1AHM8
Z95331	B1AHM9
Z95331	B1AHN3
Z95331	H7C1M6
Z95331	P23142
Z95331	Q9UBB4
AF117949	Q9Y4K0
AF077198	O75608
AK001710	B3KMF4
AF007555	Q92932
J04183	P13473
AF074331	O95340
U65019	Q15796
U83410	Q13617
BC000125	P01137
AF026030	Q9UPE4
AL050164	Q9Y232
AF081258	Q9Y232
U43522	Q14289
AF046997	P49281
BC005123	O15270
AB020645	O94925
AF097493	O94925
AB007869	O43159
AF308472	Q9NP58
BC002558	O75164
BC001866	P40937
AF006011	O14640
BC003566	P17028
AB002386	Q92800
BC001671	Q7Z4H3
AK023260	B3KN15
U09716	P49257
AF251295	P56377
M57763	P62330
BC000103	O43639
L04282	Q15552
AK022688	Q6IQ32
M76729	P20908
U53470	Q92835
AF072814	Q9Y483
AF047598	O43929
D50692	Q99417
AB004903	O14508
AB020631	O94913
AF035621	O14782
M65062	P24593
AB028628	Q9Y294
BC000658	O76061
M34064	P19022
AB012922	O94776
AB026256	O94956
AL133215	A0A0A0MS41
AL133215	B1AL05
AL133215	B1AL11
AL133215	B1AL12
AL133215	B1AL13
AL133215	B1AL16
AL133215	E5RFG2
AL133215	E5RGX4
AL133215	H0Y6Y8
AL133215	H0Y7G1
AL133215	H0YBN3
AL133215	H0YBU8
AL133215	M0R051
AL133215	P0CAT3
AL133215	Q8IX21
AL133215	Q8N983
AL133215	Q96I82
AL133215	Q96RR1
AL133215	Q9BRK4
AL133215	Q9BWM7
AL133215	Q9H5P4
AL133215	Q9NTN9
AL133215	Q9NWU8
AL133215	S4R3J9
AL133215	S4R3N9
AL133215	S4R3W7
AL133215	S4R3X4
AF055994	Q15648
AF285167	O95477
AF041432	O43617
AB002386	Q92800
AL022316	F8WAT7
AL022316	F8WE95
AL022316	Q8NET5
AL022316	Q9NQF3
AL022316	Q9Y3A4
M74088	P25054
AF017061	Q93034
J04569	P14136
U47924	A0A087WVM7
U47924	A0A087WWQ2
U47924	C9JEW3
U47924	C9JKE8
U47924	C9JQN5
U47924	E5RIC2
U47924	E9PCP0
U47924	E9PDZ4
U47924	F2Z299
U47924	F5GWA7
U47924	F5GX58
U47924	F5GXD4
U47924	F5GXW5
U47924	F5GY37
U47924	F5GY79
U47924	F5GYA9
U47924	F5GZN8
U47924	F5H0C5
U47924	F5H0C8
U47924	F5H0N8
U47924	F5H0S8
U47924	F5H100
U47924	F5H1C3
U47924	F5H1V7
U47924	F5H1Z8
U47924	F5H2D2
U47924	F5H3X6
U47924	F5H480
U47924	F5H4Z1
U47924	F5H571
U47924	F5H5H9
U47924	F5H8J8
U47924	F8WDL1
U47924	J3KMY0
U47924	J3KPJ9
U47924	J3KPX7
U47924	P01730
U47924	P09104
U47924	P16520
U47924	P29350
U47924	P45974
U47924	P54259
U47924	P60174
U47924	Q16538
U47924	Q53EV4
U47924	Q6P1A2
U47924	Q8IVL6
U47924	Q92979
U47924	Q99618
U47924	Q99619
U47924	Q99622
U47924	Q99623
U47924	U3KPS5
U47924	U3KPZ0
U47924	U3KPZ5
U47924	U3KQ07
U47924	U3KQ85
U47924	U3KQF3
U47924	U3KQI6
U47924	U3KQP4
U47924	U3KQQ1
U47924	U3KQS1
U47924	V9GYP5
BC002438	P20338
U25771	P49703
AL031230	A0A087X0U9
AL031230	C9J8Q5
AL031230	P51649
AL031230	P80108
AL031230	Q5VV43
AB023167	Q9BWQ8
AF202640	Q9NZH0
M80634	P21802
M18003	P10109
BC001689	O43772
BC002660	P28289
U12387	P51580
M34192	P26440
M13994	P10415
U91903	Q92765
U53506	Q92813
M80536	P27487
BC005008	P40199
U44403	Q13239
J04964	P08842
U34877	P53004
AF275945	O60487
BC004858	P35227
AF039555	P62760
M95936	P31751
AB011538	O75094
D84476	Q99683
BC003154	Q13049
AL050160	Q9UG73
AJ005257	Q9NVX2
AK024318	P62068
M88163	P28370
U86453	O00329
U75667	P78540
J02694	P05164
AL157398	A0A0U1RQY0
AL157398	A0A0U1RRI4
AL157398	A0A0U1RRK0
AL157398	O76041
AL157398	Q5JUU7
U77949	Q99741
AB035307	P56589
U60521	P55211
AF000992	O15550
U84569	O43822
J04162	O75015
BC002671	Q13115
AB020707	Q9UPY6
U96180	P60484
AL049699	A0A087WT27
AL049699	D6RC77
AL049699	D6RCD1
AL049699	D6RCQ8
AL049699	D6RF77
AL049699	D6RIS6
AL049699	H0Y8I3
AL049699	H0Y987
AL049699	J3KN95
AL049699	O95394
AL049699	P48163
AL049699	Q9UIY3
AL049699	S4R390
AB002390	Q9Y227
AF078865	Q9Y6G0
AL031778	C9IZY1
AL031778	C9J5P1
AL031778	C9JA90
AL031778	C9JNE2
AL031778	C9JXC3
AL031778	H7C5Q1
AL031778	P23511
AL031778	Q5TGU0
AL031778	Q8IV45
AL031778	Q9Y235
AL031778	Q9Y530
U08092	P50135
U90339	P55263
AF146796	O95436
BC000149	P40938
M57707	P13631
AB012142	O60942
U16307	P48060
AF200715	Q9UBP9
M68520	P24941
M58581	P23786
M74921	P24530
AB002295	O15040
M61213	P21359
M64073	P20933
BC000737	P49798
BC005250	O43513
BC002923	Q9NUX5
D26309	P53667
AF169676	O43155
AB014486	O75563
D28588	Q02086
M58051	P22607
AF009353	O15164
AF103939	O95834
AF080255	Q9UNY4
BC005248	O14602
M27968	P09038
U28164	Q9UM82
AF031463	Q13371
AF072872	Q9UP38
AL110209	Q8NCC3
AF074717	O60671
U74324	P47224
U89364	P51787
M24915	P16070
AB011092	O60503
AB028958	Q9UPW5
BC001012	Q9NXM9
AL031778	C9IZY1
AL031778	C9J5P1
AL031778	C9JA90
AL031778	C9JNE2
AL031778	C9JXC3
AL031778	H7C5Q1
AL031778	P23511
AL031778	Q5TGU0
AL031778	Q8IV45
AL031778	Q9Y235
AL031778	Q9Y530
AL049699	A0A087WT27
AL049699	D6RC77
AL049699	D6RCD1
AL049699	D6RCQ8
AL049699	D6RF77
AL049699	D6RIS6
AL049699	H0Y8I3
AL049699	H0Y987
AL049699	J3KN95
AL049699	O95394
AL049699	P48163
AL049699	Q9UIY3
AL049699	S4R390
AL031778	C9IZY1
AL031778	C9J5P1
AL031778	C9JA90
AL031778	C9JNE2
AL031778	C9JXC3
AL031778	H7C5Q1
AL031778	P23511
AL031778	Q5TGU0
AL031778	Q8IV45
AL031778	Q9Y235
AL031778	Q9Y530
AL157398	A0A0U1RQY0
AL157398	A0A0U1RRI4
AL157398	A0A0U1RRK0
AL157398	O76041
AL157398	Q5JUU7
AL031230	A0A087X0U9
AL031230	C9J8Q5
AL031230	P51649
AL031230	P80108
AL031230	Q5VV43
AL109928	A2A2M7
AL109928	A2A2M9
AL109928	A2A340
AL109928	A2A341
AL109928	H7BY79
AL109928	O95685
AL109928	Q8IXH8
AL109928	Q9BX26
AL109928	Q9NTX9
AL109928	Q9NTY2
U38321	Q99542
U17040	P07288
U46768	P52823
J02703	P05106
M35999	P05106
AF074393	O75582
AF207881	Q16206
AL138752	A0A0A0MQT4
AL138752	F5H380
AL138752	F5H4N3
AL138752	F5H598
AL138752	Q15464
AL138752	Q5QP82
AL138752	Q6PF06
AL138752	Q9H1U9
AL138752	Q9NQT5
AF124604	P55789
AL031670	Q9BZ23
AL031670	Q9Y225
AL031670	V9GYH1
AL031670	V9GYZ0
U90065	O00180
AF034102	Q14542
AB032984	Q9NY72
M95585	Q16534
BC000323	P39748
M74447	Q03519
L41944	P48551
U17105	P41002
AL080178	Q9Y4N6
BC002763	P13861
L12468	Q07075
AF040254	O43602
AL031664	P16519
AL031664	Q12934
AF029729	O76050
U07236	P06239
AF055993	O75446
AL080168	Q9Y4P1
BC002363	Q15349
AB028641	P35716
AF154830	P31327
AL023653	O43895
AL023653	O75995
AL023653	Q5JZ40
M60411	P26678
AL136756	Q14714
AF064826	O75487
BC005174	Q9Y2D1
AF000985	O15523
M31172	P01135
D14134	Q06609
M74715	P35475
AB017445	Q13426
AB046692	Q06278
X59065	Q6LBM3
M60626	P21462
U29586	Q16585
L03785	Q02045
AF010601	Q99717
BC000254	P36896
U89386	Q99487
AF082283	O95999
U87964	O00178
AF094754	P48167
U85658	Q92754
AB017120	Q9UQB8
AL365505	E9PNB6
AL365505	H0YE05
AL365505	P28749
AL365505	Q9Y3Z3
U40572	Q13425
AF121951	Q9Y256
AL139318	A0A0A0MTD3
AL139318	O95455
AL139318	P40126
AF026303	O00338
J03208	P11182
M27093	P11182
M92424	Q00987
M28880	P16157
U76622	P84022
U79734	O00291
AL133386	P22003
BC001777	P84074
U43328	P10915
X79990	Q06455
AL139318	A0A0A0MTD3
AL139318	O95455
AL139318	P40126
AL139318	A0A0A0MTD3
AL139318	O95455
AL139318	P40126
D31771	P35548
D28481	P35367
X77737	V9H0V9
AY014180	Q9HAU4
U83508	Q15389
BC002599	P06850
AF036269	Q99963
U39657	P52564
AF112972	Q9Y487
AL137351	Q9UPS8
U97145	O00451
AL022718	A0A0J9YY54
AL022718	B1AMS8
AL022718	B1AMS9
AL022718	B1AMT0
AL022718	B1AMT1
AL022718	B1AMT2
AL022718	B1AMT3
AL022718	B1AMT4
AL022718	E7ERE6
AL022718	O60880
AL022718	Q9UKZ4
U86755	P78536
AL137063	F5GXD1
AL137063	F5H4P9
AL137063	H0YH01
AL137063	J3KN37
AL137063	O43687
AL137063	Q9P0M2
J03925	P11215
M95548	Q07837
BC005319	P02724
AF001362	O60674
BC001808	O75414
AK024246	O75386
L07527	Q06124
BC005379	Q02325
BC004257	P07949
L12002	P13612
U20350	P49238
AJ251016	Q9UGI6
D13515	Q05586
U16120	P31641
BC005035	P20337
X95097	P41587
M33987	P00915
AF182273	P08684
AK023613	B3KN48
X52075	P16150
U27699	P48065
AF213459	P29320
AF057036	Q9Y215
AF115265	Q30201
AL022328	A0A087WU36
AL022328	A0A087X000
AL022328	A0A087X0Q9
AL022328	A6QRG9
AL022328	A6QRH1
AL022328	A8MY48
AL022328	B5MDL5
AL022328	C9J8B8
AL022328	E2PU09
AL022328	E7EQL8
AL022328	F2Z2H1
AL022328	F8W8Y4
AL022328	F8WDP4
AL022328	H0Y6J7
AL022328	H0Y7X5
AL022328	H7C1D5
AL022328	H7C2H5
AL022328	H7C358
AL022328	J3KPT4
AL022328	O15031
AL022328	P53778
AL022328	Q08AP5
AL022328	Q15759
AL022328	Q969S8
AL022328	Q96RD6
AL022328	Q96RT7
AL022328	Q9BVL4
AL022328	Q9BXT6
AL022328	Q9H4I3
D50550	Q15334
AF178841	Q9UK70
AF043977	Q9UQC9
L20815	Q15517
L31792	Q14002
AF097159	Q9UBX8
AF030625	P37288
L11702	P80108
AB026493	Q9NP62
D10202	P25105
U08024	Q06520
AF191653	Q9NZJ9
AJ223333	O14717
AF286368	O95925
U53784	P27169
AB013818	O60683
U23772	P47992
AF327656	P48736
U51096	Q99626
U36798	Q14432
J03778	P10636
U06654	Q16655
BC000460	Q9BQ16
AB045117	Q93097
AB014531	Q96GR2
AF332197	Q9NPC8
D12620	Q08477
D86358	O43699
U32974	P98170
AF348323	P41146
M81840	P54845
BC005124	P31249
AF155382	Q9P0K1
BC001003	Q16384
AF005037	O15126
M33326	P31997
AF011466	Q9HBW0
K02766	P02748
L35901	P43681
AF086735	O75452
AF153820	P63252
AF112345	O75578
AF294326	Q13951
AF015042	O95081
AF026397	P31268
AL121964	O43318
AL121964	Q9UG54
U76376	O00198
AL138761	A2A2Y8
AL138761	H0Y420
AL138761	Q9H2G2
AL138761	Q9UMD9
AL121948	P81133
U82532	Q99819
M55683	P21941
AF068863	O75508
M57765	P20809
AF318575	Q9H1J1
AB007422	O76093
AB009303	P51512
AB015228	O94788
AF005213	P16157
U39196	P48549
L33477	P55289
D21254	P55287
AF061056	O75469
AF069682	O75526
AF079564	O75604
AF290886	Q9NNX6
U16957	P50052
U31466	P29475
L76666	P43630
AJ297710	Q14004
Z97632	H0Y5G3
Z97632	O43719
Z97632	P32247
Z97632	Q5H916
Z97632	Q5H918
Z97632	Q5H919
Z97632	Q99990
AF029899	O43506
AF220532	Q9Y466
AF145439	P51686
AF118086	Q9UHS7
AF119909	Q9P139
D10583	Q01362
AF068220	Q93084
U27325	P21731
U62966	O00337
U77413	O15294
AJ131724	Q13639
AF182274	P05177
AF080597	Q9Y6F8
AB009597	Q13241
L36675	P37840
AB022177	P30988
U21663	Q13117
L29301	P35372
D14827	P10070
M92650	P11532
AF030626	P30518
AF338730	Q92953
AF022048	P43628
U66559	Q9UM73
M87771	P21802
L12260	Q02297
AF155381	Q9P0K1
M88162	Q01968
AF146343	O00482
AF134379	P53667
D63882	Q14565
U01104	P43220
U39195	P48544
U01157	P43220
U83867	Q13813
D83485	P30101
M62994	O75369
U48297	Q12974
AF208850	Q12974
L40326	Q16531
U24223	Q15365
J05021	P15311
AF104913	Q04637
BC001913	Q99536
BC002411	P67809
U04627	P40939
AB029290	Q9UPN3
BC003576	P12814
BC001312	Q15084
BC004247	P63000
J04977	P13010
M32721	P09874
AF116710	P62263
AF100752	P55072
M58664	P25063
BC000400	P67775
AF263279	Q04900
AF135162	Q14094
AF142408	Q9UHD8
BC000425	P13667
AF034607	O00299
BC000105	O75390
U17714	P50502
AF109873	Q9Y6B2
AF274951	Q9BZT5
AF164794	Q9NRX5
BC000914	P84103
AF107405	P84103
BC002594	P39656
D29643	P39656
U87954	Q9UQ80
BC004443	P36543
AF279893	Q9BXV5
L19184	Q06830
AF126181	Q9UNF1
M23254	P17655
U24105	P53621
D42040	P25440
AF352832	P11142
U78525	P55884
BC003560	P04844
BC000915	O00151
BC001188	P02786
U14990	P23396
D30658	P41250
U47077	P78527
BC001019	P62891
AF275798	Q9HB74
BC000734	P60228
L14599	Q15233
L12711	P29401
BC000373	Q06481
AK026933	P55010
AL080102	P55010
U64898	O43847
BC000076	P24385
M73554	P24385
AF092131	P49821
AB020980	Q9UM00
BC001669	Q15070
Z97056	A0A0U1RQJ0
Z97056	B0QY34
Z97056	B0QY35
Z97056	B0QY36
Z97056	H0Y5S9
Z97056	H0Y645
Z97056	H0Y682
Z97056	H3BLZ8
Z97056	H7C0Y5
Z97056	H7C3J2
Z97056	O43731
Z97056	P48050
Z97056	Q92841
U59321	Q92841
BC001081	Q9UJX4
BC000350	P51784
BC000905	P62820
AL031668	P20042
AL031668	Q5QPL9
AL031668	Q5QPM0
AL031668	Q5QPM1
AL031668	Q5QPM2
AL031668	Q9UKM9
BC000461	P20042
BC002711	P60953
BC003682	P60953
D83043	P79612
M28213	P61019
AF022231	O14595
AF004561	O15145
L76416	P61956
U78303	O00422
BC001359	P31946
AF070655	O75964
M18767	P09871
AF085357	O75955
BC001165	P54920
BC002387	P55209
AL162068	P55209
U36764	Q13347
BC001123	Q9BVK6
D89976	P31939
AF240468	Q92542
AL031714	B0QYN7
AL031714	H3BPC4
AL031714	H3BQQ9
AL031714	H3BRD1
AL031714	P63279
U67122	P63165
U83117	P63165
AL110191	Q99576
D13119	Q06055
BC001449	O43390
D17652	P35268
BC005057	Q13542
J02959	P09960
AL136943	Q9H059
D89729	O14980
AF001212	O00231
BC000665	P17987
L20817	Q08345
AF154847	Q9P0L0
AF062483	O60493
BC000055	Q12841
BC001793	Q9BQ90
AF183417	Q9GZQ8
BC003375	P09001
AL136939	Q9NYP7
BC004295	Q6NZI2
AF312393	Q6NZI2
M25915	P10909
D26156	P51532
D55716	P33993
BC000196	P51959
AF204231	A7E2F4
BC004146	P28074
AF069765	O76094
AL031681	A0A0A0MRR4
AL031681	A0A0C4DG70
AL031681	B0QYN4
AL031681	B0QYN5
AL031681	H0Y7I2
AL031681	Q13247
AL031681	Q9Y468
BC002979	P60900
U91543	Q12873
AL136632	Q9GZU0
AF080569	O75190
BC000498	P17174
AB023420	P34932
M62898	A6NMY6
BC000419	P21964
BC002977	P61006
J04564	Q15182
U18321	P51398
BC001048	Q00536
U43701	P62750
U27143	P49773
BC000835	P28072
BC004170	Q9NRF9
AF029750	O15533
D79984	Q7KZ85
AF119662	Q9UBB4
U51478	P54709
BC000027	Q9Y3Q3
AB020636	Q86VP6
AL136810	Q86VP6
AB014560	Q9UN86
U90943	Q9Y277
M29872	P11766
M30471	P11766
AF118091	Q9UHS2
AL161958	P04216
L18887	P27824
AF083420	Q9Y6E0
BC003655	P05388
M93008	P22061
BC004998	Q9BSJ8
U72937	P46100
M72709	Q07955
AF313911	P10599
AF119911	Q9P137
AF087847	Q9H0R8
BC000931	P36542
D31840	P54259
BC000232	Q00765
BC002545	Q15257
AF092132	Q9Y6B5
AB019219	O94906
BC005247	Q13907
AF006010	O95071
J02923	P13796
BC000145	P07305
BC000733	O75821
BC004542	O15031
BC003143	Q16828
BC005047	Q16828
M60334	P01903
X98743	Q9NVP1
BC003360	Q9NVP1
AF077614	Q9H3H0
AF100741	Q9Y5K8
J03250	P11387
BC000354	P62857
BC005299	P99999
BC004911	Q96G97
BC005373	Q9Y676
AF327443	P20810
BC000649	P47985
L04636	Q07021
M34055	P11177
BC001362	P09543
AF190863	Q9UJY4
AF105230	Q71UA6
BC001709	O95544
L12387	P30626
BC004904	Q9UBU9
BC005097	Q7L576
AB024703	Q9Y3C5
AF161522	Q9NY35
U84246	Q99519
AF258341	P16435
BC004954	P26373
AF147209	Q12906
BC001416	P60510
AF342815	O00214
L78132	O00214
AF074000	O00214
D13889	P41134
BC004913	Q92733
BC000941	P49903
U93239	Q99442
D50683	P37173
AF139131	Q14457
U59323	Q92900
BC001120	P17931
BC002515	P49419
BC003381	Q9BTS9
AB049113	P33316
U62891	P33316
BC005374	Q9BS26
AB017493	Q99612
AL512760	O60427
AF208043	Q16666
U39945	P54819
BC002568	Q6FI81
AF050641	Q16795
M14016	P06132
AL080089	P05496
BC001072	O43414
BC003572	Q14974
L38951	Q14974
BC004188	P68371
U36190	P52943
AF128458	Q14686
M26880	P0CG48
M37780	P16284
BC004181	P98175
BC002719	O75822
AK024505	Q9Y2K7
AF179221	Q9Y2K7
AF132362	P31942
BC000627	P40763
U40763	Q13427
BC000409	P19387
U82819	P55851
U94592	P55851
D86957	Q92599
BC001329	Q92599
BC005398	Q9BS18
BC003177	Q9P1Z2
AF070548	Q02978
AF142481	Q9UKA1
AF157323	Q9UKA1
AF247168	Q9BUV0
AF267856	Q9BUV0
U76549	P05787
BC001169	P10768
AF091395	O75962
AF217963	Q9Y5V3
BC002446	O75190
BC002700	P08729
U02389	P36776
AF316873	Q9BXM7
AF217514	Q9NX31
BC001331	O75143
BC001765	Q8N3U4
AF037448	O60506
AF141349	P07437
AF006516	Q8IZP0
AF193844	Q9UBW8
AF132811	Q9BY67
D86550	Q13627
AF279899	Q9BXV2
M69148	P21741
BC001917	P40926
AF001434	Q9H4M9
U17496	P28062
BC001738	P60604
AF033026	O43252
BC004273	Q15427
AF195530	Q9NQW7
AB030710	P60520
AB032951	Q9ULU4
AF295773	Q12967
AF083389	O96028
AB007892	Q99459
AB002282	O60869
